Variant,Question,Iteration,Response,Time,ROUGE-1,ROUGE-L,BERTScore-P,BERTScore-R,BERTScore-F1,Manual Score (1-4),Hallucination present
kg_cypher_mistral_nemo,Who is Lady Lili?,1,"Lady Lili is the current ruler of Shire, a young widow who took over after her husband Lord Loid's untimely death at age 35. She's 30 years old and has mixed feelings from her people due to heavy taxation since she dropped all trade deals.",14.69959188,0.417910448,0.358208955,0.615695655,0.838525951,0.710038662,4,0
kg_cypher_mistral_nemo,Who is Lady Lili?,2,"Lady Lili is the current ruler of Shire, a young widow who took over after her husband Lord Loid's passing at age 30.",2.139992714,0.545454545,0.545454545,0.733634531,0.807938159,0.768995643,4,0
kg_cypher_mistral_nemo,Who is Lady Lili?,3,"Lady Lili is the current ruler of Shire, she's 30 years old and became a ruler after her husband Lord Loid's death.",2.176867008,0.727272727,0.681818182,0.780564725,0.869005382,0.82241416,4,0
kg_cypher_mistral_nemo,Who was the ruler before Lady Lili?,1,"Lord Loid, who passed away unexpectedly at age 35.",1.161975861,0.222222222,0.222222222,0.466348618,0.491390169,0.47854206,4,0
kg_cypher_mistral_nemo,Who was the ruler before Lady Lili?,2,Lord Loid was the ruler before Lady Lili.,0.924847126,0.705882353,0.705882353,0.778581738,0.719173789,0.747699559,4,0
kg_cypher_mistral_nemo,Who was the ruler before Lady Lili?,3,"Lord Loid ruled Shire before Lady Lili, but he passed away unexpectedly at age 35.",1.565063,0.25,0.25,0.521936417,0.612648308,0.563666105,4,0
kg_cypher_mistral_nemo,Is Lord Loid a bartender in Nexus?,1,"No, Loid is the bartender in Nexus, not Lord Loid.",1.284745932,0.666666667,0.416666667,0.705131292,0.674747288,0.689604819,4,0
kg_cypher_mistral_nemo,Is Lord Loid a bartender in Nexus?,2,I don�t know about that.,0.731365919,0,0,0.328448296,0.310842961,0.319403201,1,0
kg_cypher_mistral_nemo,Is Lord Loid a bartender in Nexus?,3,I don�t know about that.,0.703745842,0,0,0.328448296,0.310842961,0.319403201,1,0
kg_cypher_mistral_nemo,Is West forest in Shire?,1,"Yes, there is a West Forest in Shire.",1.014855862,0.857142857,0.714285714,0.611707568,0.69969368,0.652749002,4,0
kg_cypher_mistral_nemo,Is West forest in Shire?,2,"Yes, there's a West Forest in Shire.",0.989582062,0.714285714,0.714285714,0.563945174,0.655093491,0.606111646,4,0
kg_cypher_mistral_nemo,Is West forest in Shire?,3,"Yes, there's a West Forest in Shire, known for its tall trees and rumors of mysterious lights in nearby caves.",1.8364048,0.37037037,0.37037037,0.397959083,0.576520979,0.470880389,4,0
kg_cypher_mistral_nemo,What is Nexus known for?,1,Nexus is known for its skilled blacksmiths and fine weapons.,1.292106867,0.692307692,0.615384615,0.812993288,0.693696558,0.74862206,4,0
kg_cypher_mistral_nemo,What is Nexus known for?,2,Nexus is renowned for its skilled blacksmiths and high-quality weapons.,1.282309771,0.518518519,0.518518519,0.734663486,0.672613621,0.702270627,4,0
kg_cypher_mistral_nemo,What is Nexus known for?,3,Nexus is renowned for its skilled blacksmiths and fine weapons.,1.24635601,0.615384615,0.538461538,0.799775958,0.685201049,0.738068402,4,0
kg_cypher_mistral_nemo,Who were the Oathers?,1,The Oathers are an old dynasty who ruled Nexus for over a century before Lord Loid's ascension.,1.634196043,0.5625,0.5625,0.754276097,0.877196968,0.811105847,4,0
kg_cypher_mistral_nemo,Who were the Oathers?,2,"I don�t know about them, as I'm not from Nexus and only recently started trading there under Lord Loid's rule.",1.873987913,0.108108108,0.054054054,0.40967977,0.462491184,0.434486598,1,0
kg_cypher_mistral_nemo,Who were the Oathers?,3,I don�t know about that.,0.760443926,0.1,0.1,0.292319953,0.263897896,0.277382761,1,0
kg_cypher_mistral_nemo,What is the treason plot about?,1,I don�t know about that.,0.686323881,0,0,0.398945659,0.289975822,0.335842639,1,0
kg_cypher_mistral_nemo,What is the treason plot about?,2,"I don't know about that, but I've heard whispers of a secret meeting tonight at midnight in the West Forest.",1.690783739,0.408163265,0.367346939,0.63352567,0.622923195,0.628179669,2,0
kg_cypher_mistral_nemo,What is the treason plot about?,3,"The treason plot involves a plan to overthrow Lord Loid by bribed royal guards. The mastermind behind it is unknown, and a secret meeting about it is happening tonight at midnight in West Forest's caves.",2.828634024,0.603174603,0.444444444,0.664584279,0.725167692,0.693555534,4,0
kg_cypher_mistral_nemo,What thieves are stealing,1,I don�t know about that.,0.725327969,0,0,0.296806931,0.276138037,0.286099672,1,0
kg_cypher_mistral_nemo,What thieves are stealing,2,"I don�t know about those thieves, I�m just a merchant traveling between Nexus and Shire.",1.545645714,0.193548387,0.129032258,0.388309062,0.455989003,0.419436365,1,0
kg_cypher_mistral_nemo,What thieves are stealing,3,I don�t know about that.,0.744715929,0,0,0.296806931,0.276138037,0.286099672,1,0
kg_cypher_mistral_nemo,Is it true that Lady Lili poisoned her husband?,1,I don�t know about that.,0.693619967,1,1,0.817802191,0.853420973,0.835232019,4,0
kg_cypher_mistral_nemo,Is it true that Lady Lili poisoned her husband?,2,I don�t know about that.,0.694506168,1,1,0.817802191,0.853420973,0.835232019,4,0
kg_cypher_mistral_nemo,Is it true that Lady Lili poisoned her husband?,3,"I don�t know about that, I'm just a traveling merchant between Nexus and Shire.",1.38912797,0.545454545,0.545454545,0.512653232,0.797585487,0.624137819,4,0
kg_cypher_mistral_nemo,What is the AI?,1,"I don�t know about artificial intelligence, as I�m a human merchant from this era.",1.336331129,0.454545455,0.454545455,0.435071051,0.64712286,0.520321608,3,0
kg_cypher_mistral_nemo,What is the AI?,2,I don�t know about any AI.,0.784114838,0.769230769,0.769230769,0.620910764,0.690602183,0.653904855,4,0
kg_cypher_mistral_nemo,What is the AI?,3,"I don�t know about artificial intelligence, as I�m Billy, a traveling merchant from your world, not mine.",1.653548717,0.4,0.4,0.399383008,0.628066778,0.488275319,2,0
kg_cypher_mistral_nemo,What is internet?,1,I don�t know about that.,0.58842802,1,1,0.817802191,0.853420973,0.835232019,4,0
kg_cypher_mistral_nemo,What is internet?,2,I don�t know about that.,0.614480972,1,1,0.817802191,0.853420973,0.835232019,4,0
kg_cypher_mistral_nemo,What is internet?,3,"I don�t know about that, I've only heard of tales of magic and whispers among strangers in taverns.",1.546974182,0.461538462,0.461538462,0.488376647,0.844204307,0.618783712,2,1
kg_cypher_mistral,Who is Lady Lili?,1,"Lady Lili is the current ruler of Shire, taking over after her husband Lord Loid's death. She is considered young at just 30 years old and has mixed feelings among the citizens due to her recent tax increases and cancellation of trade deals, making herself wealthier in the process.",9.158180714,0.485714286,0.342857143,0.60456568,0.848675609,0.706118226,4,0
kg_cypher_mistral,Who is Lady Lili?,2,"Lady Lili is the current ruler of Shire, who became a ruler after the death of her husband Lord Loid. She is known for heavily taxing her people and dropping all trade deals, making her richer, but causing mixed feelings among the townspeople.",2.380579233,0.603174603,0.53968254,0.651103437,0.897718728,0.754777133,4,0
kg_cypher_mistral,Who is Lady Lili?,3,"Lady Lili is the current ruler of Shire, she became a ruler after her husband Lord Loid's death and has mixed feelings among the people due to her recent heavy taxation on citizens which made her richer. She was previously married to Lord Loid who played an important role in making Shire one of the richest towns through trade deals within the kingdom.",3.208552122,0.452380952,0.357142857,0.592936754,0.830962658,0.692054927,4,0
kg_cypher_mistral,Who was the ruler before Lady Lili?,1,The ruler before Lady Lili in Shire was Lord Loid.,0.761313677,0.631578947,0.315789474,0.70420146,0.716982722,0.710534632,4,0
