Variant;Question;Iteration;Response;Time;ROUGE-1;ROUGE-L;BERTScore-P;BERTScore-R;BERTScore-F1;Manual Score (1-4);Hallucination present
et_global;Who is Lady Lili?;1;Lady Lili is the new ruler of the Shire, being only 30 years old, having ascended to the throne after the passing of her husband Lord Loid.;2.943772077560425;0.6808510638297872;0.6808510638297872;0.7884380221366882;0.9045968055725098;0.8425325751304626;4;0
et_global;Who is Lady Lili?;2;Lady Lili is the new ruler of the Shire, having ascended to the throne at a young age following the death of her husband Lord Loid. She has recently implemented significant changes in governance, including dropping trade deals and increasing taxes, which has left some people with mixed feelings about her rule.;1.4182720184326172;0.4722222222222222;0.4444444444444444;0.6339722871780396;0.9131707549095154;0.7483794093132019;4;0
et_global;Who is Lady Lili?;3;Lady Lili is the new ruler of the Shire, being only 30 years old, having ascended to the throne following the untimely death of her husband Lord Loid.;0.9359691143035889;0.6666666666666666;0.6666666666666666;0.7591544389724731;0.9082787036895752;0.8270482420921326;4;0
et_global;Who was the ruler before Lady Lili?;1;Before Lady Lili, there was Lord Loid, who ruled the Shire for many years. Unfortunately, he has passed away, leaving his young wife to take on the responsibilities of ruling the land.;1.1785407066345215;0.24390243902439024;0.14634146341463417;0.49678218364715576;0.6514972448348999;0.5637168884277344;4;0
et_global;Who was the ruler before Lady Lili?;2;I don't know about that, but I do know that Lady Lili is the current ruler of the Shire after the passing of Lord Loid, and she recently took office.;1.004856824874878;0.19999999999999998;0.09999999999999999;0.47162818908691406;0.6461398005485535;0.5452611446380615;1;0
et_global;Who was the ruler before Lady Lili?;3;I don't know about that. The last ruler I had any dealings with was Lord Loid, who passed away recently, leaving his wife Lady Lili to take over as the new ruler of the Shire.;0.9280469417572021;0.22222222222222227;0.17777777777777776;0.4734290838241577;0.6424117088317871;0.5451250672340393;1;0
et_global;Is Lord Loid a bartender in Nexus?;1;Yes, Loid is indeed a bartender at the Black Bull tavern in Nexus.;0.5478909015655518;0.4444444444444445;0.4444444444444445;0.6159201264381409;0.6167317628860474;0.6163256764411926;1;1
et_global;Is Lord Loid a bartender in Nexus?;2;Yes, Lord Loid is indeed the bartender at one of the taverns in Nexus called BlackBull. I've had dealings with him on my merchant travels and he seems like a man who knows many secrets about this town.;1.0999298095703125;0.339622641509434;0.22641509433962267;0.5049506425857544;0.6479648351669312;0.5675875544548035;1;1
et_global;Is Lord Loid a bartender in Nexus?;3;Lord Loid is indeed a bartender, but I don't know if he is specifically in Nexus called BlackBull tavern.;0.6793258190155029;0.47058823529411764;0.47058823529411764;0.5650462508201599;0.6686607599258423;0.61250239610672;1;1
et_global;Is West forest in Shire?;1;Yes, the West Forest is indeed located within the borders of the Shire. It's one of the largest and most notable forests in the region, known for its tall trees and mysterious shadows.;0.887415885925293;0.3;0.25;0.38419201970100403;0.6114715337753296;0.471891313791275;3;0
et_global;Is West forest in Shire?;2;West Forest is indeed located within the borders of Shire, but I've heard it's on the western edge of the Shire.;0.6986260414123535;0.27586206896551724;0.27586206896551724;0.46635201573371887;0.6136579513549805;0.5299592018127441;3;0
et_global;Is West forest in Shire?;3;Yes, West Forest lies in Shire, it's a part of the rolling green hills and woodlands that make up the heart of our beloved Shire. I've made many journeys through its tranquil paths, enjoying the shade of its ancient trees and taking in the rustic charm of the surrounding countryside.;1.302438735961914;0.1724137931034483;0.1724137931034483;0.3553033769130707;0.6537818908691406;0.46039894223213196;3;1
et_global;What is Nexus known for?;1;Nexus is known for its excellent blacksmith practices, where you can find a variety of high-quality weapons and other goods made by skilled craftsmen.;0.9319632053375244;0.39024390243902435;0.39024390243902435;0.589430570602417;0.7020624876022339;0.640835165977478;4;0
et_global;What is Nexus known for?;2;Nexus is known for its excellent blacksmith practices and good weapons like swords, shields, axes, and other fine arms.;0.8305599689483643;0.7999999999999999;0.742857142857143;0.8535900712013245;0.8867032527923584;0.8698316812515259;4;0
et_global;What is Nexus known for?;3;Nexus is known for its excellent blacksmith practices, offering a wide variety of high-quality arms and armor such as swords, shields, axes, and many others.;1.045614242553711;0.5714285714285714;0.5238095238095238;0.7090709209442139;0.8422031402587891;0.7699242234230042;4;0
et_global;Who were the Oathers?;1;"I don't know about that. I've only heard rumors and whispers, but I've never heard of anyone called ""Oathers"" being involved in any such plot or intrigue within the palace.";0.9563829898834229;0.1276595744680851;0.0851063829787234;0.3916400372982025;0.44776174426078796;0.41782477498054504;1;0
et_global;Who were the Oathers?;2;I don't know about that, I've heard rumors and whispers, but I don't have any information on who the Oathers are or their connection to the palace intrigue.;0.8656349182128906;0.2222222222222222;0.17777777777777778;0.40854978561401367;0.4847314953804016;0.44339215755462646;1;0
