Variant;Question;Iteration;Response;Time;ROUGE-1;ROUGE-L;BERTScore-P;BERTScore-R;BERTScore-F1;Manual Score (1-4);Hallucination present
et_global;Who is Lady Lili?;1;Lady Lili is the young ruler of Shire, who recently inherited the throne following the death of her husband Lord Loid. She has been taxing the townsfolk heavily, causing mixed feelings among the people due to her aggressive trade policies.;4.796374082565308;0.5333333333333333;0.4666666666666667;0.6559321880340576;0.8668702840805054;0.746791660785675;4;0
et_global;Who is Lady Lili?;2;Lady Lili is the young, newly appointed ruler of Shire. She has been making controversial decisions such as canceling previous trade deals and imposing heavy taxes on her subjects, which has led to mixed feelings among the people.;1.9792249202728271;0.3448275862068966;0.3103448275862069;0.5435848236083984;0.7089439034461975;0.6153490543365479;4;0
et_global;Who is Lady Lili?;3;Lady Lili is the young ruler of Shire, who recently inherited the throne following the death of her husband Lord Loid. She is known for revising the trading agreements and imposing heavy taxes, which have generated controversy among the townsfolk.;2.153254985809326;0.5333333333333333;0.4666666666666667;0.6567106246948242;0.8697181344032288;0.7483522295951843;4;0
et_global;Who was the ruler before Lady Lili?;1;The ruler before Lady Lili was Lord Loid. He passed away, making Lady Lili the new ruler of Shire.;1.2787549495697021;0.42857142857142855;0.2857142857142857;0.5901085734367371;0.7025545835494995;0.6414408683776855;4;0
et_global;Who was the ruler before Lady Lili?;2;The ruler before Lady Lili was Lord Loid.;0.5852978229522705;0.7058823529411765;0.35294117647058826;0.7489533424377441;0.7088115215301514;0.7283297181129456;4;0
et_global;Who was the ruler before Lady Lili?;3;The ruler before Lady Lili was Lord Loid.;0.5932998657226562;0.7058823529411765;0.35294117647058826;0.7489533424377441;0.7088115215301514;0.7283297181129456;4;0
et_global;Is Lord Loid a bartender in Nexus?;1;Yes, Lord Loid is indeed a bartender at the BlackBull tavern in Nexus.;1.2276389598846436;0.5185185185185186;0.5185185185185186;0.6188018321990967;0.6509491801261902;0.6344685554504395;1;1
et_global;Is Lord Loid a bartender in Nexus?;2;Yes, Lord Loid is indeed a bartender in the tavern called BlackBull located in Nexus.;1.2407200336456299;0.4827586206896552;0.4827586206896552;0.6101909875869751;0.6604183912277222;0.6343119144439697;1;1
et_global;Is Lord Loid a bartender in Nexus?;3;Yes, Lord Loid is indeed a bartender at the BlackBull tavern in Nexus.;1.1765596866607666;0.5185185185185186;0.5185185185185186;0.6188018321990967;0.6509491801261902;0.6344685554504395;1;1
et_global;Is West forest in Shire?;1;Yes, West Forest is located within the town of Shire.;0.8420326709747314;625;625;0.5843672752380371;0.7180274724960327;0.644338846206665;4;0
et_global;Is West forest in Shire?;2;Yes, West Forest is located within the town of Shire.;0.8284018039703369;625;625;0.5843672752380371;0.7180274724960327;0.644338846206665;4;0
et_global;Is West forest in Shire?;3;Yes, West Forest is located within the town of Shire.;0.8312129974365234;625;625;0.5843672752380371;0.7180274724960327;0.644338846206665;4;0
et_global;What is Nexus known for?;1;Nexus is known for its exceptional blacksmith practices, producing high-quality weapons such as swords, shields, axes, and more.;1.774752140045166;0.6857142857142857;0.6285714285714286;0.7820955514907837;0.8586999177932739;0.8186094760894775;4;0
et_global;What is Nexus known for?;2;Nexus is well-known for its exceptional blacksmith practices, offering high-quality weapons such as swords, shields, axes, and more.;1.8324830532073975;0.6666666666666665;0.6111111111111112;0.7575419545173645;0.851940393447876;0.8019729256629944;4;0
et_global;What is Nexus known for?;3;Nexus is known for its excellent blacksmithing practices, where you can find quality weapons such as swords, shields, axes, and many others.;1.8782529830932617;0.631578947368421;0.5789473684210527;0.7259625792503357;0.8334675431251526;0.7760094404220581;4;0
et_global;Who were the Oathers?;1;I don't know about the Oathers specifically, but they are likely a group of individuals involved in the treasonous plot to overthrow Lord Loid as suggested by the rumors and secret meetings in the West Forest.;1.9452736377716064;0.1568627450980392;0.1568627450980392;0.4551399350166321;0.5381947755813599;0.49319514632225037;1;1
et_global;Who were the Oathers?;2;"I don't know about the ""Oathers"" specifically, as they are not mentioned in the context provided. However, considering the given context of palace treason and secret meetings, it is possible that the ""Others"" could be a group involved or connected to this plot. It would require further information to confirm their identity or role accurately.";2.764863967895508;0.14285714285714285;0.14285714285714285;0.37535005807876587;0.497265100479126;0.4277910888195038;1;1
et_global;Who were the Oathers?;3;"In the given context, there is no mention of ""the Oathers."" Therefore, I don't know about them.";1.2346429824829102;0.1875;125;0.43677520751953125;0.5016874074935913;0.46698635816574097;1;1
et_global;What is the treason plot about?;1;The treason plot appears to be an attempt to overthrow Lord Loid, possibly by someone within the palace or royal guards who have been bribed for this purpose. However, I don't know the identity of the mastermind behind it yet.;1.9385199546813965;0.2647058823529412;0.23529411764705882;0.5539871454238892;0.621355414390564;0.5857405662536621;4;0
